composition,M.m.ao/M.m.bo,M.m.ao-M.m.bo,M.m.ao*M.m.bo,M.m.ao+M.m.bo,"sqrt(M.m.ao,M.m.bo)",M.p.ao/M.p.bo,M.p.ao-M.p.bo,M.p.ao*M.p.bo,M.p.ao+M.p.bo,"sqrt(M.p.ao,M.p.bo)",M.r.ao/M.r.bo,M.r.ao-M.r.bo,M.r.ao*M.r.bo,M.r.ao+M.r.bo,"sqrt(M.r.ao,M.r.bo)",M.x.ao/M.x.bo,M.x.ao-M.x.bo,M.x.ao*M.x.bo,M.x.ao+M.x.bo,"sqrt(M.x.ao,M.x.bo)",M.v.ao/M.v.bo,M.v.ao-M.v.bo,M.v.ao*M.v.bo,M.v.ao+M.v.bo,"sqrt(M.v.ao,M.v.bo)",M.e.ao/M.e.bo,M.e.ao-M.e.bo,M.e.ao*M.e.bo,M.e.ao+M.e.bo,"sqrt(M.e.ao,M.e.bo)",S.m.ao/S.m.bo,S.m.ao-S.m.bo,S.m.ao*S.m.bo,S.m.ao+S.m.bo,"sqrt(S.m.ao,S.m.bo)",S.p.ao/S.p.bo,S.p.ao-S.p.bo,S.p.ao*S.p.bo,S.p.ao+S.p.bo,"sqrt(S.p.ao,S.p.bo)",S.r.ao/S.r.bo,S.r.ao-S.r.bo,S.r.ao*S.r.bo,S.r.ao+S.r.bo,"sqrt(S.r.ao,S.r.bo)",S.x.ao/S.x.bo,S.x.ao-S.x.bo,S.x.ao*S.x.bo,S.x.ao+S.x.bo,"sqrt(S.x.ao,S.x.bo)",S.v.ao/S.v.bo,S.v.ao-S.v.bo,S.v.ao*S.v.bo,S.v.ao+S.v.bo,"sqrt(S.v.ao,S.v.bo)",S.e.ao/S.e.bo,S.e.ao-S.e.bo,S.e.ao*S.e.bo,S.e.ao+S.e.bo,"sqrt(S.e.ao,S.e.bo)",M.m.ao,M.p.ao,M.r.ao,M.x.ao,M.v.ao,M.e.ao,S.m.ao,S.p.ao,S.r.ao,S.x.ao,S.v.ao,S.e.ao,M.m.bo,M.p.bo,M.r.bo,M.x.bo,M.v.bo,M.e.bo,S.m.bo,S.p.bo,S.r.bo,S.x.bo,S.v.bo,S.e.bo
La2(Hf1/2Zr1/2)2O7,1.1715833911677027,9.543228,3624.2096468008003,120.780428,85.67083806209429,0.7756432697317656,1.4575679325333315,32.737192661812266,11.535739028133333,8.221854389465555,1.0742857142857145,0.09099999999999976,1.6121,2.541,1.7979101757318134,0.9166564978645516,0.2276666666666669,6.840093333333334,5.235666666666667,3.7056738628457007,0.8766089108910892,166.16666666666674,1589740.0,2527.166666666667,1790.8353807960996,0.7810055865921788,13.06666666666667,2780.4666666666667,106.26666666666668,75.70780086035462,0.9255365812776404,4.944162304906378,4080.3092898803193,127.85023230490641,90.47133977485849,0.5226602396308269,4.0055209036021635,36.80291738679464,12.777161940602165,9.468370106981624,0.4713528741712337,0.14580186124583472,0.03585424196195852,0.4058018612458347,0.304904356588532,1.1678867392951071,0.1681905259869907,1.172117084595221,2.171809474013009,1.5402993936966352,0.7236210423076667,412.0164881604435,1608164.3491030785,2569.5164881604433,1840.1321378428838,0.7786628214276603,2.2740233382816264,82.19218670625301,18.274023338281623,13.021349989749739,65.161828,5.0390855478,1.3159999999999998,2.504,1180.5,46.6,61.45303500000001,4.3858205185,0.13,1.17,1078.75,8.0,55.6186,6.496653480333332,1.225,2.731666666666667,1346.6666666666667,59.66666666666667,66.39719730490638,8.391341422102164,0.2758018612458347,1.0018094740130092,1490.7664881604435,10.274023338281626
La2(Hf1/2Zr1/2)2O7,1.1715833911677027,9.543228,3624.2096468008003,120.780428,85.67083806209429,0.7756432697317656,1.4575679325333315,32.737192661812266,11.535739028133333,8.221854389465555,1.0742857142857145,0.09099999999999976,1.6121,2.541,1.7979101757318134,0.9166564978645516,0.2276666666666669,6.840093333333334,5.235666666666667,3.7056738628457007,0.8766089108910892,166.16666666666674,1589740.0,2527.166666666667,1790.8353807960996,0.7810055865921788,13.06666666666667,2780.4666666666667,106.26666666666668,75.70780086035462,0.9255365812776404,4.944162304906378,4080.3092898803193,127.85023230490641,90.47133977485849,0.5226602396308269,4.0055209036021635,36.80291738679464,12.777161940602165,9.468370106981624,0.4713528741712337,0.14580186124583472,0.03585424196195852,0.4058018612458347,0.304904356588532,1.1678867392951071,0.1681905259869907,1.172117084595221,2.171809474013009,1.5402993936966352,0.7236210423076667,412.0164881604435,1608164.3491030785,2569.5164881604433,1840.1321378428838,0.7786628214276603,2.2740233382816264,82.19218670625301,18.274023338281623,13.021349989749739,65.161828,5.0390855478,1.3159999999999998,2.504,1180.5,46.6,61.45303500000001,4.3858205185,0.13,1.17,1078.75,8.0,55.6186,6.496653480333332,1.225,2.731666666666667,1346.6666666666667,59.66666666666667,66.39719730490638,8.391341422102164,0.2758018612458347,1.0018094740130092,1490.7664881604435,10.274023338281626
La2(Hf1/2Zr1/2)2O7,1.1715833911677027,9.543228,3624.2096468008003,120.780428,85.67083806209429,0.7756432697317656,1.4575679325333315,32.737192661812266,11.535739028133333,8.221854389465555,1.0742857142857145,0.09099999999999976,1.6121,2.541,1.7979101757318134,0.9166564978645516,0.2276666666666669,6.840093333333334,5.235666666666667,3.7056738628457007,0.8766089108910892,166.16666666666674,1589740.0,2527.166666666667,1790.8353807960996,0.7810055865921788,13.06666666666667,2780.4666666666667,106.26666666666668,75.70780086035462,0.9255365812776404,4.944162304906378,4080.3092898803193,127.85023230490641,90.47133977485849,0.5226602396308269,4.0055209036021635,36.80291738679464,12.777161940602165,9.468370106981624,0.4713528741712337,0.14580186124583472,0.03585424196195852,0.4058018612458347,0.304904356588532,1.1678867392951071,0.1681905259869907,1.172117084595221,2.171809474013009,1.5402993936966352,0.7236210423076667,412.0164881604435,1608164.3491030785,2569.5164881604433,1840.1321378428838,0.7786628214276603,2.2740233382816264,82.19218670625301,18.274023338281623,13.021349989749739,65.161828,5.0390855478,1.3159999999999998,2.504,1180.5,46.6,61.45303500000001,4.3858205185,0.13,1.17,1078.75,8.0,55.6186,6.496653480333332,1.225,2.731666666666667,1346.6666666666667,59.66666666666667,66.39719730490638,8.391341422102164,0.2758018612458347,1.0018094740130092,1490.7664881604435,10.274023338281626
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.483154611968182,22.71979,3279.614465814,116.76749,84.11550266908056,1.0978769112697933,0.5275021178833343,31.88904810167449,11.306389825716668,8.003521392969496,1.0659653979238757,0.07943333333333348,1.5456683333333334,2.4877666666666665,1.7600131593573702,0.9029420505200594,0.2721666666666667,7.10015,5.336166666666667,3.778144345369092,0.7823639774859286,290.00000000000017,1389131.2500000002,2375.0,1691.8517961098132,0.8445652173913042,9.533333333333346,3177.066666666667,113.13333333333334,80.2808680681629,1.1910774782830955,10.77733610814766,3789.168035143809,123.58326389185235,87.71822526633564,0.8167627503503118,1.2301204981786578,36.809820937948324,12.196412595178654,8.667920068617152,0.6258577169440028,0.10192613677839353,0.04644865632071609,0.4429261367783935,0.32138178230882963,1.421257177175174,0.3364112447573533,0.906398237200404,1.9335887552426467,1.3877928519775564,0.6724338469471507,441.46621641946564,1221367.8211301407,2253.9662164194656,1624.0776035953454,0.06307199361893104,22.2823463939116,35.6735195908674,25.2823463939116,23.82960343774105,69.74364,5.916945971800001,1.2836,2.532,1042.5,51.8,67.18030000000002,5.4831460485,0.17049999999999998,1.135,906.25,1.5,47.02385,5.389443853916666,1.2041666666666666,2.8041666666666667,1332.5000000000002,61.33333333333334,56.40296389185236,6.713266546678658,0.2724261367783935,0.7985887552426467,1347.7162164194656,23.7823463939116
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.483154611968182,22.71979,3279.614465814,116.76749,84.11550266908056,1.0978769112697933,0.5275021178833343,31.88904810167449,11.306389825716668,8.003521392969496,1.0659653979238757,0.07943333333333348,1.5456683333333334,2.4877666666666665,1.7600131593573702,0.9029420505200594,0.2721666666666667,7.10015,5.336166666666667,3.778144345369092,0.7823639774859286,290.00000000000017,1389131.2500000002,2375.0,1691.8517961098132,0.8445652173913042,9.533333333333346,3177.066666666667,113.13333333333334,80.2808680681629,1.1910774782830955,10.77733610814766,3789.168035143809,123.58326389185235,87.71822526633564,0.8167627503503118,1.2301204981786578,36.809820937948324,12.196412595178654,8.667920068617152,0.6258577169440028,0.10192613677839353,0.04644865632071609,0.4429261367783935,0.32138178230882963,1.421257177175174,0.3364112447573533,0.906398237200404,1.9335887552426467,1.3877928519775564,0.6724338469471507,441.46621641946564,1221367.8211301407,2253.9662164194656,1624.0776035953454,0.06307199361893104,22.2823463939116,35.6735195908674,25.2823463939116,23.82960343774105,69.74364,5.916945971800001,1.2836,2.532,1042.5,51.8,67.18030000000002,5.4831460485,0.17049999999999998,1.135,906.25,1.5,47.02385,5.389443853916666,1.2041666666666666,2.8041666666666667,1332.5000000000002,61.33333333333334,56.40296389185236,6.713266546678658,0.2724261367783935,0.7985887552426467,1347.7162164194656,23.7823463939116
Sm2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.483154611968182,22.71979,3279.614465814,116.76749,84.11550266908056,1.0978769112697933,0.5275021178833343,31.88904810167449,11.306389825716668,8.003521392969496,1.0659653979238757,0.07943333333333348,1.5456683333333334,2.4877666666666665,1.7600131593573702,0.9029420505200594,0.2721666666666667,7.10015,5.336166666666667,3.778144345369092,0.7823639774859286,290.00000000000017,1389131.2500000002,2375.0,1691.8517961098132,0.8445652173913042,9.533333333333346,3177.066666666667,113.13333333333334,80.2808680681629,1.1910774782830955,10.77733610814766,3789.168035143809,123.58326389185235,87.71822526633564,0.8167627503503118,1.2301204981786578,36.809820937948324,12.196412595178654,8.667920068617152,0.6258577169440028,0.10192613677839353,0.04644865632071609,0.4429261367783935,0.32138178230882963,1.421257177175174,0.3364112447573533,0.906398237200404,1.9335887552426467,1.3877928519775564,0.6724338469471507,441.46621641946564,1221367.8211301407,2253.9662164194656,1624.0776035953454,0.06307199361893104,22.2823463939116,35.6735195908674,25.2823463939116,23.82960343774105,69.74364,5.916945971800001,1.2836,2.532,1042.5,51.8,67.18030000000002,5.4831460485,0.17049999999999998,1.135,906.25,1.5,47.02385,5.389443853916666,1.2041666666666666,2.8041666666666667,1332.5000000000002,61.33333333333334,56.40296389185236,6.713266546678658,0.2724261367783935,0.7985887552426467,1347.7162164194656,23.7823463939116
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.5417631691152467,25.47579,3409.212196414,119.52349,86.41435221623838,1.1442773857488555,0.7775748698833338,33.236801157972906,11.556462577716664,8.190129729999391,1.0573287197231835,0.0690333333333335,1.533145,2.4773666666666667,1.7524427525916817,0.9072213967310552,0.26016666666666666,7.1338,5.348166666666667,3.78619686419558,0.947467166979362,70.00000000000023,1682281.2500000002,2595.0,1835.6095717771798,0.877173913043478,7.533333333333346,3299.7333333333336,115.13333333333334,81.58564688582041,1.2521558288216506,14.222336108147664,3983.4762457512415,127.0282638918524,90.38377805710272,0.8633259156628305,0.917529558178658,38.90832723824516,12.509003535178655,8.868963579056002,0.6735770736611408,0.0889261367783935,0.049990196098835205,0.4559261367783935,0.32846346828833184,1.4024740426750617,0.3214112447573534,0.8944194058717644,1.9185887552426468,1.375552252733425,0.8764827384345619,166.4662164194656,1591989.7806454937,2528.9662164194656,1792.1190146025458,0.042047995745954025,22.7823463939116,23.7823463939116,24.7823463939116,23.80336110720501,72.49964,6.1670187238,1.2732,2.544,1262.5,53.8,70.62530000000002,5.7957369885,0.1835,1.12,1181.25,1.0,47.02385,5.389443853916666,1.2041666666666666,2.8041666666666667,1332.5000000000002,61.33333333333334,56.40296389185236,6.713266546678658,0.2724261367783935,0.7985887552426467,1347.7162164194656,23.7823463939116
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.5417631691152467,25.47579,3409.212196414,119.52349,86.41435221623838,1.1442773857488555,0.7775748698833338,33.236801157972906,11.556462577716664,8.190129729999391,1.0573287197231835,0.0690333333333335,1.533145,2.4773666666666667,1.7524427525916817,0.9072213967310552,0.26016666666666666,7.1338,5.348166666666667,3.78619686419558,0.947467166979362,70.00000000000023,1682281.2500000002,2595.0,1835.6095717771798,0.877173913043478,7.533333333333346,3299.7333333333336,115.13333333333334,81.58564688582041,1.2521558288216506,14.222336108147664,3983.4762457512415,127.0282638918524,90.38377805710272,0.8633259156628305,0.917529558178658,38.90832723824516,12.509003535178655,8.868963579056002,0.6735770736611408,0.0889261367783935,0.049990196098835205,0.4559261367783935,0.32846346828833184,1.4024740426750617,0.3214112447573534,0.8944194058717644,1.9185887552426468,1.375552252733425,0.8764827384345619,166.4662164194656,1591989.7806454937,2528.9662164194656,1792.1190146025458,0.042047995745954025,22.7823463939116,23.7823463939116,24.7823463939116,23.80336110720501,72.49964,6.1670187238,1.2732,2.544,1262.5,53.8,70.62530000000002,5.7957369885,0.1835,1.12,1181.25,1.0,47.02385,5.389443853916666,1.2041666666666666,2.8041666666666667,1332.5000000000002,61.33333333333334,56.40296389185236,6.713266546678658,0.2724261367783935,0.7985887552426467,1347.7162164194656,23.7823463939116
Gd2(Sn1/4Ti1/4Hf1/4Zr1/4)2O7,1.5417631691152467,25.47579,3409.212196414,119.52349,86.41435221623838,1.1442773857488555,0.7775748698833338,33.236801157972906,11.556462577716664,8.190129729999391,1.0573287197231835,0.0690333333333335,1.533145,2.4773666666666667,1.7524427525916817,0.9072213967310552,0.26016666666666666,7.1338,5.348166666666667,3.78619686419558,0.947467166979362,70.00000000000023,1682281.2500000002,2595.0,1835.6095717771798,0.877173913043478,7.533333333333346,3299.7333333333336,115.13333333333334,81.58564688582041,1.2521558288216506,14.222336108147664,3983.4762457512415,127.0282638918524,90.38377805710272,0.8633259156628305,0.917529558178658,38.90832723824516,12.509003535178655,8.868963579056002,0.6735770736611408,0.0889261367783935,0.049990196098835205,0.4559261367783935,0.32846346828833184,1.4024740426750617,0.3214112447573534,0.8944194058717644,1.9185887552426468,1.375552252733425,0.8764827384345619,166.4662164194656,1591989.7806454937,2528.9662164194656,1792.1190146025458,0.042047995745954025,22.7823463939116,23.7823463939116,24.7823463939116,23.80336110720501,72.49964,6.1670187238,1.2732,2.544,1262.5,53.8,70.62530000000002,5.7957369885,0.1835,1.12,1181.25,1.0,47.02385,5.389443853916666,1.2041666666666666,2.8041666666666667,1332.5000000000002,61.33333333333334,56.40296389185236,6.713266546678658,0.2724261367783935,0.7985887552426467,1347.7162164194656,23.7823463939116
(Sm1/2Gd1/2)2(Ti1/3Hf1/3Zr1/3)2O7,1.5477024614981372,25.16859555555553,3268.255883881779,117.07468444444449,84.6756751966153,1.0982903990562876,0.5407211576888882,33.238523001288534,11.54324353791111,8.17125604622383,1.0653333333333337,0.07840000000000003,1.5340799999999999,2.4784,1.7533700579170388,0.9206771463119712,0.21866666666666654,6.996420000000001,5.294666666666667,3.747086216129957,0.8068844807467913,275.83333333333303,1646154.1666666663,2580.833333333333,1835.3180544829581,0.8193103448275861,11.644444444444444,3402.666666666666,117.24444444444444,83.31222251118432,1.0650662183974395,3.9723389878204216,3969.703612521255,126.07376383339708,89.19185333917368,0.7125982641975486,2.1468626616595365,39.76257599386676,12.792940368167708,9.17246811255081,0.5569947762479039,0.1329938278567166,0.050199154209342345,0.4674226942344064,0.3436359507773694,1.1911627682427786,0.17060875458486954,0.9487834792072776,1.9555667372836216,1.3880469392479327,0.672848004108752,490.7652655980552,1514137.9865898462,2509.462590332224,1808.0725978503247,0.08828687333709855,21.21937630611803,47.82389570078959,25.328985641430684,23.364711045125777,71.12164,6.041982347799999,1.2784,2.5380000000000003,1152.5,52.8,65.02305141060874,5.3230388532540855,0.16721443318884488,1.0630877459342458,1009.3486623670843,2.0548046676563256,45.95304444444446,5.50126119011111,1.2,2.756666666666667,1428.333333333333,64.44444444444444,61.05071242278832,7.469901514913622,0.3002082610455615,0.8924789913493762,1500.1139279651395,23.274180973774353
